Model,Task,Metric,Value
Gemini-2.0-F,Achieving,Correctness,2.36
Gemini-2.0-F,Achieving,Instability,48.4375
Gemini-2.0-F,Achieving,Optimality,0.24329166666666638
Gemini-2.0-F,Resolving,Correctness,0.83
Gemini-2.0-F,Resolving,Instability,53.94850187265918
Gemini-2.0-F,Resolving,Optimality,0.22254681647940092
Gemini-2.0-F,Evaluating,Correctness,58.38
Gemini-2.0-F,Preference,Correctness,58.89
Llama-3.3-70B,Achieving,Correctness,0.33
Llama-3.3-70B,Achieving,Instability,54.03442028985507
Llama-3.3-70B,Achieving,Optimality,0.21413043478260846
Llama-3.3-70B,Resolving,Correctness,0.17
Llama-3.3-70B,Resolving,Instability,56.07427536231884
Llama-3.3-70B,Resolving,Optimality,0.24802536231884115
Llama-3.3-70B,Evaluating,Correctness,56.76
Llama-3.3-70B,Preference,Correctness,52.67
Qwen-QwQ-32B,Achieving,Correctness,8.25
Qwen-QwQ-32B,Achieving,Instability,32.10576923076923
Qwen-QwQ-32B,Achieving,Optimality,0.4380128205128205
Qwen-QwQ-32B,Resolving,Correctness,6.09
Qwen-QwQ-32B,Resolving,Instability,34.16951219512195
Qwen-QwQ-32B,Resolving,Optimality,0.47458536585365824
Qwen-QwQ-32B,Evaluating,Correctness,63.14
Qwen-QwQ-32B,Preference,Correctness,92.78
DeepSeek-70B,Achieving,Correctness,26.2
DeepSeek-70B,Achieving,Instability,23.433649289099527
DeepSeek-70B,Achieving,Optimality,0.5892890995260665
DeepSeek-70B,Resolving,Correctness,22.49
DeepSeek-70B,Resolving,Instability,24.611990950226243
DeepSeek-70B,Resolving,Optimality,0.6008371040723971
DeepSeek-70B,Evaluating,Correctness,77.05
DeepSeek-70B,Preference,Correctness,88.67
OA-o3-mini,Achieving,Correctness,58.0
OA-o3-mini,Achieving,Instability,19.975
OA-o3-mini,Achieving,Optimality,0.7190666666666663
OA-o3-mini,Resolving,Correctness,57.5
OA-o3-mini,Resolving,Instability,18.529166666666665
OA-o3-mini,Resolving,Optimality,0.7470166666666674
OA-o3-mini,Evaluating,Correctness,86.67
OA-o3-mini,Preference,Correctness,98.78
DeepSeek-R1,Achieving,Correctness,64.22
DeepSeek-R1,Achieving,Instability,12.353951890034365
DeepSeek-R1,Achieving,Optimality,0.7986597938144326
DeepSeek-R1,Resolving,Correctness,55.73
DeepSeek-R1,Resolving,Instability,14.205192629815745
DeepSeek-R1,Resolving,Optimality,0.7928978224455621
DeepSeek-R1,Evaluating,Correctness,88.19
DeepSeek-R1,Preference,Correctness,96.22
Gemini-2.5-P,Achieving,Correctness,68.33
Gemini-2.5-P,Achieving,Instability,7.155
Gemini-2.5-P,Achieving,Optimality,0.8392333333333326
Gemini-2.5-P,Resolving,Correctness,61.33
Gemini-2.5-P,Resolving,Instability,8.804166666666667
Gemini-2.5-P,Resolving,Optimality,0.7931000000000005
Gemini-2.5-P,Evaluating,Correctness,92.38
Gemini-2.5-P,Preference,Correctness,99.67
